GEO_ID,NAME,Est. Total Civilian Non-instit. Pop,Est. Pop With Disability,Percent Pop With Disability,Est. Pop. 65 years and over,Est. Pop. 65+ With Disability,Percent Pop. 65+ With disability
1400000US06087100100,"Census Tract 1001, Santa Cruz County, California",2234,219,9.8,415,90,21.7
1400000US06087100200,"Census Tract 1002, Santa Cruz County, California",6788,732,10.8,1158,258,22.3
1400000US06087100300,"Census Tract 1003, Santa Cruz County, California",3563,558,15.7,754,229,30.4
1400000US06087100400,"Census Tract 1004, Santa Cruz County, California",10476,584,5.6,48,20,41.7
1400000US06087100500,"Census Tract 1005, Santa Cruz County, California",6440,464,7.2,744,208,28
1400000US06087100600,"Census Tract 1006, Santa Cruz County, California",3665,318,8.7,549,155,28.2
1400000US06087100700,"Census Tract 1007, Santa Cruz County, California",2015,277,13.7,258,68,26.4
1400000US06087100800,"Census Tract 1008, Santa Cruz County, California",6608,579,8.8,678,75,11.1
1400000US06087100900,"Census Tract 1009, Santa Cruz County, California",4397,426,9.7,697,199,28.6
1400000US06087101000,"Census Tract 1010, Santa Cruz County, California",8081,1176,14.6,741,300,40.5
1400000US06087101100,"Census Tract 1011, Santa Cruz County, California",5555,635,11.4,1044,361,34.6
1400000US06087101200,"Census Tract 1012, Santa Cruz County, California",3174,242,7.6,601,136,22.6
1400000US06087110100,"Census Tract 1101, Santa Cruz County, California",7677,1341,17.5,1278,603,47.2
1400000US06087110200,"Census Tract 1102, Santa Cruz County, California",7957,1089,13.7,1128,583,51.7
1400000US06087110300,"Census Tract 1103, Santa Cruz County, California",7275,979,13.5,447,223,49.9
1400000US06087110400,"Census Tract 1104, Santa Cruz County, California",8077,646,8,336,115,34.2
1400000US06087110501,"Census Tract 1105.01, Santa Cruz County, California",8414,637,7.6,528,235,44.5
1400000US06087110502,"Census Tract 1105.02, Santa Cruz County, California",6423,892,13.9,503,236,46.9
1400000US06087110600,"Census Tract 1106, Santa Cruz County, California",8235,1473,17.9,1120,493,44
1400000US06087110700,"Census Tract 1107, Santa Cruz County, California",3159,406,12.9,502,161,32.1
1400000US06087120200,"Census Tract 1202, Santa Cruz County, California",4613,662,14.4,1030,245,23.8
1400000US06087120301,"Census Tract 1203.01, Santa Cruz County, California",5312,500,9.4,1210,264,21.8
1400000US06087120302,"Census Tract 1203.02, Santa Cruz County, California",3054,404,13.2,392,86,21.9
1400000US06087120400,"Census Tract 1204, Santa Cruz County, California",4884,407,8.3,736,140,19
1400000US06087120500,"Census Tract 1205, Santa Cruz County, California",5738,624,10.9,1141,201,17.6
1400000US06087120600,"Census Tract 1206, Santa Cruz County, California",4781,445,9.3,852,192,22.5
1400000US06087120700,"Census Tract 1207, Santa Cruz County, California",4274,371,8.7,728,142,19.5
1400000US06087120800,"Census Tract 1208, Santa Cruz County, California",5771,838,14.5,1564,557,35.6
1400000US06087120900,"Census Tract 1209, Santa Cruz County, California",8741,919,10.5,1318,344,26.1
1400000US06087121000,"Census Tract 1210, Santa Cruz County, California",3578,288,8,759,169,22.3
1400000US06087121100,"Census Tract 1211, Santa Cruz County, California",3229,337,10.4,765,192,25.1
1400000US06087121200,"Census Tract 1212, Santa Cruz County, California",6517,683,10.5,1206,226,18.7
1400000US06087121300,"Census Tract 1213, Santa Cruz County, California",4260,527,12.4,857,282,32.9
1400000US06087121401,"Census Tract 1214.01, Santa Cruz County, California",2467,347,14.1,434,185,42.6
1400000US06087121402,"Census Tract 1214.02, Santa Cruz County, California",4309,522,12.1,468,200,42.7
1400000US06087121403,"Census Tract 1214.03, Santa Cruz County, California",3382,510,15.1,593,201,33.9
1400000US06087121500,"Census Tract 1215, Santa Cruz County, California",5106,945,18.5,889,240,27
1400000US06087121600,"Census Tract 1216, Santa Cruz County, California",6578,798,12.1,1197,428,35.8
1400000US06087121700,"Census Tract 1217, Santa Cruz County, California",7293,750,10.3,1242,442,35.6
1400000US06087121800,"Census Tract 1218, Santa Cruz County, California",4323,932,21.6,1220,438,35.9
1400000US06087122001,"Census Tract 1220.01, Santa Cruz County, California",4911,644,13.1,900,128,14.2
1400000US06087122002,"Census Tract 1220.02, Santa Cruz County, California",3253,341,10.5,758,164,21.6
1400000US06087122003,"Census Tract 1220.03, Santa Cruz County, California",7248,806,11.1,1414,290,20.5
1400000US06087122100,"Census Tract 1221, Santa Cruz County, California",3286,513,15.6,619,170,27.5
1400000US06087122201,"Census Tract 1222.01, Santa Cruz County, California",6501,899,13.8,1608,409,25.4
1400000US06087122202,"Census Tract 1222.02, Santa Cruz County, California",2328,279,12,534,148,27.7
1400000US06087122203,"Census Tract 1222.03, Santa Cruz County, California",3971,561,14.1,989,365,36.9
1400000US06087122300,"Census Tract 1223, Santa Cruz County, California",3669,424,11.6,998,194,19.4
1400000US06087122400,"Census Tract 1224, Santa Cruz County, California",7241,856,11.8,1718,350,20.4
1400000US06087122500,"Census Tract 1225, Santa Cruz County, California",6988,1101,15.8,526,149,28.3
1400000US06087123100,"Census Tract 1231, Santa Cruz County, California",3193,512,16,337,136,40.4
1400000US06087123300,"Census Tract 1233, Santa Cruz County, California",1479,154,10.4,117,26,22.2
1400000US06087990100,"Census Tract 9901, Santa Cruz County, California",0,0,-,0,0,-
