GEO_ID,NAME,Est. Total housing units,Est. Occupied housing units,Percent Occupied housing units,"Est. Occ. housing units, no vehicle","Percent Occ. housing units, no vehicle"
1400000US06087100100,"Census Tract 1001, Santa Cruz County, California",830,818,98.6,13,1.6
1400000US06087100200,"Census Tract 1002, Santa Cruz County, California",2852,2704,94.8,168,6.2
1400000US06087100300,"Census Tract 1003, Santa Cruz County, California",1358,1259,92.7,87,6.9
1400000US06087100400,"Census Tract 1004, Santa Cruz County, California",484,421,87,39,9.3
1400000US06087100500,"Census Tract 1005, Santa Cruz County, California",2386,2329,97.6,55,2.4
1400000US06087100600,"Census Tract 1006, Santa Cruz County, California",1377,1275,92.6,22,1.7
1400000US06087100700,"Census Tract 1007, Santa Cruz County, California",1159,1065,91.9,229,21.5
1400000US06087100800,"Census Tract 1008, Santa Cruz County, California",3354,3196,95.3,208,6.5
1400000US06087100900,"Census Tract 1009, Santa Cruz County, California",2431,1903,78.3,133,7
1400000US06087101000,"Census Tract 1010, Santa Cruz County, California",3975,3659,92.1,521,14.2
1400000US06087101100,"Census Tract 1011, Santa Cruz County, California",2501,2330,93.2,179,7.7
1400000US06087101200,"Census Tract 1012, Santa Cruz County, California",1407,1187,84.4,25,2.1
1400000US06087110100,"Census Tract 1101, Santa Cruz County, California",2649,2509,94.7,206,8.2
1400000US06087110200,"Census Tract 1102, Santa Cruz County, California",2373,2171,91.5,138,6.4
1400000US06087110300,"Census Tract 1103, Santa Cruz County, California",1933,1846,95.5,266,14.4
1400000US06087110400,"Census Tract 1104, Santa Cruz County, California",2175,2054,94.4,63,3.1
1400000US06087110501,"Census Tract 1105.01, Santa Cruz County, California",2314,2314,100,85,3.7
1400000US06087110502,"Census Tract 1105.02, Santa Cruz County, California",1600,1600,100,90,5.6
1400000US06087110600,"Census Tract 1106, Santa Cruz County, California",2375,2375,100,222,9.3
1400000US06087110700,"Census Tract 1107, Santa Cruz County, California",918,901,98.1,44,4.9
1400000US06087120200,"Census Tract 1202, Santa Cruz County, California",1888,1628,86.2,90,5.5
1400000US06087120301,"Census Tract 1203.01, Santa Cruz County, California",2280,1983,87,0,0
1400000US06087120302,"Census Tract 1203.02, Santa Cruz County, California",1143,1060,92.7,12,1.1
1400000US06087120400,"Census Tract 1204, Santa Cruz County, California",2432,2048,84.2,95,4.6
1400000US06087120500,"Census Tract 1205, Santa Cruz County, California",2761,2435,88.2,57,2.3
1400000US06087120600,"Census Tract 1206, Santa Cruz County, California",2022,1835,90.8,34,1.9
1400000US06087120700,"Census Tract 1207, Santa Cruz County, California",2047,1589,77.6,30,1.9
1400000US06087120800,"Census Tract 1208, Santa Cruz County, California",2504,2290,91.5,213,9.3
1400000US06087120900,"Census Tract 1209, Santa Cruz County, California",3460,3124,90.3,65,2.1
1400000US06087121000,"Census Tract 1210, Santa Cruz County, California",1482,1372,92.6,28,2
1400000US06087121100,"Census Tract 1211, Santa Cruz County, California",1259,1197,95.1,50,4.2
1400000US06087121200,"Census Tract 1212, Santa Cruz County, California",2525,2290,90.7,16,0.7
1400000US06087121300,"Census Tract 1213, Santa Cruz County, California",1745,1706,97.8,182,10.7
1400000US06087121401,"Census Tract 1214.01, Santa Cruz County, California",1005,966,96.1,49,5.1
1400000US06087121402,"Census Tract 1214.02, Santa Cruz County, California",1618,1504,93,56,3.7
1400000US06087121403,"Census Tract 1214.03, Santa Cruz County, California",1368,1305,95.4,32,2.5
1400000US06087121500,"Census Tract 1215, Santa Cruz County, California",2796,2332,83.4,258,11.1
1400000US06087121600,"Census Tract 1216, Santa Cruz County, California",3296,2733,82.9,283,10.4
1400000US06087121700,"Census Tract 1217, Santa Cruz County, California",3210,2894,90.2,139,4.8
1400000US06087121800,"Census Tract 1218, Santa Cruz County, California",2566,2050,79.9,165,8
1400000US06087122001,"Census Tract 1220.01, Santa Cruz County, California",2018,1834,90.9,31,1.7
1400000US06087122002,"Census Tract 1220.02, Santa Cruz County, California",1341,1182,88.1,0,0
1400000US06087122003,"Census Tract 1220.03, Santa Cruz County, California",2916,2801,96.1,133,4.7
1400000US06087122100,"Census Tract 1221, Santa Cruz County, California",1925,1543,80.2,31,2
1400000US06087122201,"Census Tract 1222.01, Santa Cruz County, California",3355,2638,78.6,68,2.6
1400000US06087122202,"Census Tract 1222.02, Santa Cruz County, California",973,909,93.4,36,4
1400000US06087122203,"Census Tract 1222.03, Santa Cruz County, California",1811,1624,89.7,55,3.4
1400000US06087122300,"Census Tract 1223, Santa Cruz County, California",2308,1485,64.3,21,1.4
1400000US06087122400,"Census Tract 1224, Santa Cruz County, California",2744,2608,95,113,4.3
1400000US06087122500,"Census Tract 1225, Santa Cruz County, California",1728,1702,98.5,37,2.2
1400000US06087123100,"Census Tract 1231, Santa Cruz County, California",834,829,99.4,28,3.4
1400000US06087123300,"Census Tract 1233, Santa Cruz County, California",496,406,81.9,8,2
1400000US06087990100,"Census Tract 9901, Santa Cruz County, California",0,0,-,0,-
