GEO_ID,NAME,Est. Pop 5 years and over,"Est. Pop 5yrs and over, Speaks English less than ""very well""","Percent Pop 5yrs and over, Speaks English less than ""very well"""
1400000US06087100100,"Census Tract 1001, Santa Cruz County, California",2132,142,6.7
1400000US06087100200,"Census Tract 1002, Santa Cruz County, California",6692,766,11.4
1400000US06087100300,"Census Tract 1003, Santa Cruz County, California",3450,54,1.6
1400000US06087100400,"Census Tract 1004, Santa Cruz County, California",10440,601,5.8
1400000US06087100500,"Census Tract 1005, Santa Cruz County, California",6216,276,4.4
1400000US06087100600,"Census Tract 1006, Santa Cruz County, California",3443,170,4.9
1400000US06087100700,"Census Tract 1007, Santa Cruz County, California",2015,24,1.2
1400000US06087100800,"Census Tract 1008, Santa Cruz County, California",6382,326,5.1
1400000US06087100900,"Census Tract 1009, Santa Cruz County, California",4248,160,3.8
1400000US06087101000,"Census Tract 1010, Santa Cruz County, California",7809,1043,13.4
1400000US06087101100,"Census Tract 1011, Santa Cruz County, California",5417,161,3
1400000US06087101200,"Census Tract 1012, Santa Cruz County, California",3114,168,5.4
1400000US06087110100,"Census Tract 1101, Santa Cruz County, California",7019,2375,33.8
1400000US06087110200,"Census Tract 1102, Santa Cruz County, California",7427,2057,27.7
1400000US06087110300,"Census Tract 1103, Santa Cruz County, California",6439,3216,49.9
1400000US06087110400,"Census Tract 1104, Santa Cruz County, California",7232,3143,43.5
1400000US06087110501,"Census Tract 1105.01, Santa Cruz County, California",7542,2686,35.6
1400000US06087110502,"Census Tract 1105.02, Santa Cruz County, California",5946,2480,41.7
1400000US06087110600,"Census Tract 1106, Santa Cruz County, California",7547,2702,35.8
1400000US06087110700,"Census Tract 1107, Santa Cruz County, California",2939,734,25
1400000US06087120200,"Census Tract 1202, Santa Cruz County, California",4528,264,5.8
1400000US06087120301,"Census Tract 1203.01, Santa Cruz County, California",4952,58,1.2
1400000US06087120302,"Census Tract 1203.02, Santa Cruz County, California",2891,49,1.7
1400000US06087120400,"Census Tract 1204, Santa Cruz County, California",4593,34,0.7
1400000US06087120500,"Census Tract 1205, Santa Cruz County, California",5545,141,2.5
1400000US06087120600,"Census Tract 1206, Santa Cruz County, California",4577,68,1.5
1400000US06087120700,"Census Tract 1207, Santa Cruz County, California",3937,177,4.5
1400000US06087120800,"Census Tract 1208, Santa Cruz County, California",5495,30,0.5
1400000US06087120900,"Census Tract 1209, Santa Cruz County, California",8277,303,3.7
1400000US06087121000,"Census Tract 1210, Santa Cruz County, California",3460,62,1.8
1400000US06087121100,"Census Tract 1211, Santa Cruz County, California",3106,177,5.7
1400000US06087121200,"Census Tract 1212, Santa Cruz County, California",6303,25,0.4
1400000US06087121300,"Census Tract 1213, Santa Cruz County, California",4098,197,4.8
1400000US06087121401,"Census Tract 1214.01, Santa Cruz County, California",2697,335,12.4
1400000US06087121402,"Census Tract 1214.02, Santa Cruz County, California",4061,759,18.7
1400000US06087121403,"Census Tract 1214.03, Santa Cruz County, California",3122,187,6
1400000US06087121500,"Census Tract 1215, Santa Cruz County, California",5025,552,11
1400000US06087121600,"Census Tract 1216, Santa Cruz County, California",6397,467,7.3
1400000US06087121700,"Census Tract 1217, Santa Cruz County, California",6966,536,7.7
1400000US06087121800,"Census Tract 1218, Santa Cruz County, California",4230,275,6.5
1400000US06087122001,"Census Tract 1220.01, Santa Cruz County, California",4711,155,3.3
1400000US06087122002,"Census Tract 1220.02, Santa Cruz County, California",3156,27,0.9
1400000US06087122003,"Census Tract 1220.03, Santa Cruz County, California",6839,101,1.5
1400000US06087122100,"Census Tract 1221, Santa Cruz County, California",3079,85,2.8
1400000US06087122201,"Census Tract 1222.01, Santa Cruz County, California",6367,123,1.9
1400000US06087122202,"Census Tract 1222.02, Santa Cruz County, California",2267,67,3
1400000US06087122203,"Census Tract 1222.03, Santa Cruz County, California",3790,58,1.5
1400000US06087122300,"Census Tract 1223, Santa Cruz County, California",3679,492,13.4
1400000US06087122400,"Census Tract 1224, Santa Cruz County, California",7214,428,5.9
1400000US06087122500,"Census Tract 1225, Santa Cruz County, California",6560,2616,39.9
1400000US06087123100,"Census Tract 1231, Santa Cruz County, California",2983,586,19.6
1400000US06087123300,"Census Tract 1233, Santa Cruz County, California",1416,151,10.7
1400000US06087990100,"Census Tract 9901, Santa Cruz County, California",0,0,-
